Profile Summary
Generated on: 2026-03-05 13:55:32
Msec since Epoch: 1772718932170
Profiled application: 
Target platform: Xilinx
Tool version: 2024.2
XRT build version: 2.18.0
Build version branch: 2024.2
Build version hash: d05b18dc38cc6804ecb4b3dbe6de23f158319567
Build version date: 2024-10-25 10:29:53
Target devices: edge-0
Flow mode: System Run

Compute Unit Utilization
CU_CALLS,edge-0|c_1,1,
CU_CALLS,edge-0|e_1,1,
CU_CALLS,edge-0|g_1,1,
NUM_MONITORS,edge-0|XCL_PERF_MON_MEMORY|2,2,
NUM_MONITORS,edge-0|XCL_PERF_MON_ACCEL|6,6,
NUM_MONITORS,edge-0|XCL_PERF_MON_STR|9,21,
MEMORY_USAGE,edge-0|DDR,1,
MEMORY_USAGE,edge-0|DDR,1,
MEMORY_USAGE,edge-0|LPDDR,0,
MEMORY_USAGE,edge-0|dc_0,1,
MEMORY_USAGE,edge-0|dc_1,1,
MEMORY_USAGE,edge-0|dc_2,1,
MEMORY_USAGE,edge-0|dc_3,1,
MEMORY_USAGE,edge-0|dc_4,1,
MEMORY_USAGE,edge-0|dc_5,1,
PLRAM_DEVICE,all,0,
HBM_DEVICE,all,0,
KDMA_DEVICE,all,0,
P2P_DEVICE,all,0,
PORT_BIT_WIDTH,load_1/m_axi_gmem0,1024,
PORT_BIT_WIDTH,store_1/m_axi_gmem1,1024,
KERNEL_COUNT,a,1,
KERNEL_COUNT,c,1,
KERNEL_COUNT,e,1,
KERNEL_COUNT,g,1,
KERNEL_COUNT,load,1,
KERNEL_COUNT,store,1,
TRACE_MEMORY,all,TS2MM,
TRACE_BUFFER_FULL,edge-0,false
MEMORY_TYPE_BIT_WIDTH,edge-0|DDR,64,
APPLICATION_RUN_TIME_MS,all,5124.75,
TOTAL_KERNEL_RUN_TIME_MS,all,1.64096,
XRT_INI_SETTING,opencl_trace,0,Generation of trace of OpenCL APIs and memory transfers
XRT_INI_SETTING,device_counters,0,Hardware counters added to summary file
XRT_INI_SETTING,host_trace,0,Enable the top level of host trace
XRT_INI_SETTING,native_xrt_trace,1,Generation of Native XRT API function trace
XRT_INI_SETTING,xrt_trace,0,Generation of hardware SHIM function trace
XRT_INI_SETTING,device_trace,fine,Collection of data from PL monitors and added to summary and trace
XRT_INI_SETTING,power_profile,0,Polling of power data during execution of application
XRT_INI_SETTING,power_profile_interval_ms,20,Interval for reading power data (in ms)
XRT_INI_SETTING,stall_trace,fine,Enables hardware generation of stalls in compute units
XRT_INI_SETTING,trace_buffer_size,32M,Size of buffer to allocate for trace (memory offload only)
XRT_INI_SETTING,verbosity,4,Verbosity level
XRT_INI_SETTING,continuous_trace,0,Continuous offloading of trace from memory to host
XRT_INI_SETTING,trace_buffer_offload_interval_ms,5,Interval for reading of device data to host (in ms)
XRT_INI_SETTING,trace_file_dump_interval_s,5,Interval for dumping files to host (in s)
XRT_INI_SETTING,lop_trace,0,Generation of lower overhead OpenCL trace. Should not be used with other OpenCL options.
XRT_INI_SETTING,debug_mode,batch,Debug mode (emulation only)
XRT_INI_SETTING,aie_trace,1,Generation of AI Engine trace
XRT_INI_SETTING,aie_profile,0,Generation of AI Engine profiling
XRT_INI_SETTING,aie_status,1,Generation of AI Engine debug/status
XRT_INI_SETTING,aie_status_interval_us,1000,Interval for reading AI Engine debug/status registers (in us)
XRT_INI_SETTING,vitis_ai_profile,0,Generation of Vitis AI summary and trace (Vitis AI designs only)
XRT_INI_SETTING,AIE_profile_settings.interval_us,1000,Interval for reading AI Engine profile counters (in us)
XRT_INI_SETTING,AIE_profile_settings.graph_based_aie_metrics,,Metric set for profiling AI Engine processor modules per graph
XRT_INI_SETTING,AIE_profile_settings.graph_based_aie_memory_metrics,,Metric set for profiling AI Engine memory modules per graph
XRT_INI_SETTING,AIE_profile_settings.graph_based_memory_tile_metrics,,Metric set for profiling AI Engine memory tiles per graph
XRT_INI_SETTING,AIE_profile_settings.graph_based_interface_tile_metrics,,Metric set for profiling AI Engine interface tiles per graph
XRT_INI_SETTING,AIE_profile_settings.tile_based_aie_metrics,,Metric set for profiling AI Engine processor modules per tile
XRT_INI_SETTING,AIE_profile_settings.tile_based_aie_memory_metrics,,Metric set for profiling AI Engine memory modules per tile
XRT_INI_SETTING,AIE_profile_settings.tile_based_memory_tile_metrics,,Metric set for profiling AI Engine memory tiles per tile
XRT_INI_SETTING,AIE_profile_settings.tile_based_interface_tile_metrics,,Metric set for profiling AI Engine interface tiles per tile
XRT_INI_SETTING,AIE_profile_settings.interface_tile_latency,,Metric set for profiling AI Engine interface tiles latency between different graph ports
XRT_INI_SETTING,AIE_profile_settings.start_type,time,Type of delay to use in AI Engine Profiling
XRT_INI_SETTING,AIE_profile_settings.start_iteration,1,Iteration count when graph type delay is used in AI Engine Profiling
XRT_INI_SETTING,AIE_trace_settings.start_type,time,Type of delay to use in AI Engine trace
XRT_INI_SETTING,AIE_trace_settings.start_time,0,Start delay for AI Engine trace
XRT_INI_SETTING,AIE_trace_settings.start_iteration,1,Iteration count when graph type delay is used in AI Engine Trace
XRT_INI_SETTING,AIE_trace_settings.start_layer,4294967295,layer wise windowed AI Engine Trace
XRT_INI_SETTING,AIE_trace_settings.graph_based_aie_tile_metrics,dut:all:functions_all_stalls,Configuration level used for AI Engine trace per graph
XRT_INI_SETTING,AIE_trace_settings.graph_based_memory_tile_metrics,,Configuration level used for memory tile trace per graph
XRT_INI_SETTING,AIE_trace_settings.graph_based_interface_tile_metrics,,Configuration level used for interface tile trace per graph
XRT_INI_SETTING,AIE_trace_settings.tile_based_aie_tile_metrics,,Configuration level used for AI Engine trace per tile
XRT_INI_SETTING,AIE_trace_settings.tile_based_memory_tile_metrics,,Configuration level used for memory tile trace per tile
XRT_INI_SETTING,AIE_trace_settings.tile_based_interface_tile_metrics,,Configuration level used for interface tile trace per tile
XRT_INI_SETTING,AIE_trace_settings.buffer_size,32M,Size of buffer to allocate for AI Engine trace
XRT_INI_SETTING,AIE_trace_settings.periodic_offload,1,Periodic offloading of AI Engine trace from memory to host
XRT_INI_SETTING,AIE_trace_settings.trace_start_broadcast,1,Starting event trace modules using broadcast network
XRT_INI_SETTING,AIE_trace_settings.reuse_buffer,0,Enable use of circular buffer for AI Engine trace
XRT_INI_SETTING,AIE_trace_settings.buffer_offload_interval_us,100,Interval for reading of device AI Engine trace data to host (in us)
XRT_INI_SETTING,AIE_trace_settings.file_dump_interval_s,5,Interval for dumping AI Engine trace files to host (in s)
XRT_INI_SETTING,AIE_trace_settings.poll_timers_interval_us,100,Interval for polling AI Engine timers (in us)
